text,label
【招商银行】尊敬的客户，您的消费分期资格已获批，额度高达50000元！现在办理享3期免息，快来体验吧！详情戳 t.cn/AbCd123,低优先级/垃圾
中国建设银行：【风险提示】您的账户于 22:15 尝试在境外网站交易，已被我行风控系统拦截。如非本人操作，请立即致电95533。,高优先级
系统管家: 手机存储空间不足（剩余950MB），可能会影响应用正常运行，建议立即清理。,中优先级
【小米云服务】检测到您的设备 Redmi K50 正在一个新的地点（上海）登录，如果不是您本人操作，请立即修改密码。,中优先级
【中国移动】话费提醒：您的手机号码158****1234当前话费余额为8.21元，为不影响正常使用，请及时充值。,中优先级
小红书：你关注的“美食作家王刚”发布了新笔记：厨师长教你：“家常麻婆豆腐”的秘诀...,中优先级
"支付宝：收款到账 1,588.00元。对方：某某公司。附言：11月项目款。",高优先级
【拼多多】哇！你的好友“爱吃的小熊”给你送来一个现金大红包🧧，最高800元，24小时内有效，快来领取吧！https://url.pdd.cn/123xyz,低优先级/垃圾
Bilibili：[动态码] 您的登录动态码为 591023，该验证码10分钟内有效，请勿泄露。,高优先级
企业微信 - HR：【通知】关于2024年国庆节放假安排的通知已在公告栏发布，请各位同事查阅并提前做好工作交接。,中优先级
未接来电提醒：您有1个来自 +86138****1234 的未接来电（5分钟前）。,高优先级
飞书审批：您提交的“采购申请-办公用品”已由“行政部总监”审批通过。,中优先级
【招商银行】⭐理财季特惠！我行新推出“稳健宝”理财产品，七日年化收益高达3.5%，立即了解并购买！,低优先级/垃圾
【招商银行】尊敬的客户，您的信用良好，现诚邀您办理我行高端白金信用卡，享机场贵宾厅等专属权益！详情戳 t.cn/AbcDEf,低优先级/垃圾
设置: 设备电量低于10%，请及时连接充电器。,中优先级
微信支付：商业服务（特约）扣费凭证，微信支付已根据协议从您的账户扣费¥199.00，用于购买“网易云音乐黑胶会员”。,高优先级
~未接来电~ 您有 1 个来自“老板”的未接来电，回拨请点击。时间：11:05,高优先级
QQ - 相亲相爱一家人(8)：@所有人 周末一起去郊区烧烤怎么样？我找到一个不错的地方！,低优先级/垃圾
【验证码】您的 Steam 登录 auth code 为 5J4K8。该验证码将在5分钟后失效。,高优先级
【携程旅行】航班起飞提醒：您预订的 HO1234 上海-北京 航班将于明天 08:30 起飞，请提前2小时到达机场办理登机手续。,高优先级
【Google】检测到在一部新的 Windows 设备上登录了您的 Google 帐号 (user***@gmail.com)。如果这不是您本人操作，请立即检查您的帐号活动。,高优先级
携程旅行：航班登机提醒，您预订的HU7801航班将于45分钟后关闭登机口，请尽快前往12A登机口。,高优先级
原神：「版本更新」亲爱的旅行者，3.8版本“清夏！乐园？大秘境！”现已开启，全新内容等你体验！,低优先级/垃圾
微信支付：支付凭证 - 刚刚，您使用尾号1099的卡向「山姆会员商店」支付了¥99.50。,高优先级
小红书: 你关注的博主“美食探店酱”发布了新笔记：🔥OMG！这家藏在巷子里的宝藏烤肉店也太好吃了吧！,低优先级/垃圾
【Steam】您的 Steam 账户登录授权码为 JX7P8。切勿与他人分享此代码。,高优先级
飞书 | 【审批】您提交的“出差申请-北京”已通过【王总】审批。,中优先级
微信支付：您向“瑞幸咖啡”商家支付 ¥19.90 已成功扣款，将从您的招商银行储蓄卡(尾号0527)中扣除。,高优先级
来电提醒: 您于 5 分钟前有 1 个来自 10010 的未接来电。,高优先级
【顺丰速运】寄件福利到！您有3张5元寄件优惠券待领取，周末寄大件更划算，点击 https://sf-url.com/coupon 领取。,低优先级/垃圾
您有1个来自 +86 158 0101 xxxx 的未接来电，时间：14:32。,高优先级
"【中国建设银行】您尾号6821的储蓄卡账户 11月02日 15:45 转账存入人民币 30,000.00元，可用余额 45,210.50元。",高优先级
"【招商银行】您尾号8841的储蓄卡11月15日 14:30快捷支付支出(美团)人民币128.00元，活期余额1,572.50元。",高优先级
美团外卖：【专享红包】送您一张20-5元外卖美食红包，今天可用，快来犒劳一下辛苦的自己吧！戳我领券>>,低优先级/垃圾
电话：您有1个来自“妈妈”的未接来电，3分钟前。,中优先级
小红书：你关注的博主“美食探探”更新啦！“一口入魂！这才是冬天该有的热红酒做法” 快来看看吧～,低优先级/垃圾
携程旅行: 航班起飞提醒，尊敬的旅客，您预订的HU7801航班（北京-上海）计划于今天18:30起飞，请您尽快办理值机和安检手续。,高优先级
【中国移动】尊敬的客户，您的5G畅享套餐现可免费升级，享更多流量和通话时长，回复“Y”即刻办理。,低优先级/垃圾
【中国移动】🔥5G套餐限时特惠！每月仅需59元，畅享30GB高速流量和500分钟通话，点击链接立即办理，升级您的上网体验！,低优先级/垃圾
携程旅行：航班起飞提醒，您预订的 CZ3101 广州-北京 航班将于今天 14:00 起飞，请尽快前往登机口B23办理登机。,高优先级
存储空间不足：您的手机存储空间即将用尽。部分系统功能可能无法正常工作。请前往“设置”管理存储空间。,中优先级
Google：G-998123 是您的 Google 验证码。此 one-time code 将在 10 分钟后失效。,高优先级
【未接来电】您的号码在 11:20 有一个来自 +86156******** 的未接来电。— 中国联通,高优先级
【中国建设银行】理财推荐 | “乾元-稳健”系列理财产品火热发售中，七日年化收益高达3.5%，额度有限，欲购从速！,低优先级/垃圾
【中国联通】5G套餐大放价！每月仅需59元享100GB流量+500分钟通话，加送视频会员！点我办理 http://u.10010.cn/aBcDe,低优先级/垃圾
抖音：新版本 23.4.0 已发布！🔥 全新滤镜和一键剪辑功能上线，快来更新体验吧！,中优先级
QQ - 大学同学(45)：@全体成员 周六晚上七点，老地方烧烤，来的人接龙！,中优先级
菜鸟：您的包裹已由快递员放入7栋楼下丰巢快递柜，取件码：857321。请及时领取。,中优先级
携程旅行: 登机提醒！您预订的 CA1501 航班(北京-上海)即将于今天 16:30 停止办理登机手续，请尽快前往B23登机口。,高优先级
【企业微信】张三提交的“采购申请-办公用品”需要您审批，请尽快处理。,中优先级
【中国移动】尊敬的客户，截至今日18:00，您本月套餐内高速流量仅剩500MB，超出后将按标准计费。,中优先级
飞书 - OKR助手：提醒：本季度的 OKR 进度更新将于本周五截止，请尽快填写对齐。,中优先级
未接来电：您有 2 个来自“老公”的未接来电。请尽快回电。,高优先级
原神：亲爱的旅行者，全新版本「千岩竞秀」现已开启！限定角色卡池开放，快来提瓦特大陆冒险吧！🙂,低优先级/垃圾
工商银行：您正在办理快捷支付签约，短信动态码为：482773，10分钟内有效。切勿告知他人！,高优先级
【抖音】您的 one-time code 是 1109。此代码将于 10 分钟后过期。,高优先级
【淘宝】双11狂欢倒计时！您购物车里的宝贝正在降价，超多红包雨等你来抢🔥，立即打开App参与活动 https://m.taobao.com/ 错过再等一年！,低优先级/垃圾
系统设置: 存储空间严重不足。请清理不必要的文件以确保系统正常运行。,中优先级
钉钉 | 人事行政部：关于2024年元旦放假安排的通知已发布，请各位同事查阅并做好工作安排。,中优先级
"【支付宝】您的花呗账单已出，本月应还2,580.50元，最后还款日为下月9日，记得按时还款哦。",高优先级
微信支付: 支付成功通知。您向“美团外卖”成功支付¥45.50。💳,高优先级
【飞书】张三 的请假审批“事假-1天”已被 李四 批准。,中优先级
QQ邮箱：您有一封来自“GitHub”的新邮件，主题：“[GitHub] A new sign-in was detected”。刚刚,中优先级
【菜鸟】您的包裹(尾号6811)已由本人签收，感谢您使用菜鸟服务，期待为您再次服务。🙂,中优先级
"【招商银行】您尾号6821的储蓄卡11月05日 14:30 POS消费支出人民币58.00元，活期余额1,234.56元。",高优先级
【淘宝】亲，您购物车里的宝贝降价啦！降价15.00元，快去看看吧，别被抢光了哦！>> http://tb.cn/123xyz,低优先级/垃圾
电话：您有1个来自“老板”的未接来电（今天 09:15）。,高优先级
菜鸟 | 您的快递已到驿站 | 包裹已入库，请凭取件码【3-4-5678】及时领取，24小时免费保管。,中优先级
企业微信：您提交的“费用报销-202311”审批已通过。审批人：王经理。,中优先级
钉钉：人事：【审批结果】您提交的“请假申请(事假)”已被同意。,中优先级
【Google】G-998102 is your Google verification code.,高优先级
